#{"t_start": 1771238678.271325, "env_id": null}
r,l,t
24.1,25,14.809841
26.1,25,14.818409
26.1,25,15.10415
21.9,25,15.114498
25.4,25,15.123611
19.8,25,15.132593
20.9,25,15.142071
25.1,25,15.151029
19.9,25,15.160079
20.0,25,15.168542
30.4,25,15.177029
22.1,25,15.187383
20.8,25,15.19609
21.8,25,15.205656
21.1,25,15.214717
27.6,25,15.223347
25.1,25,15.23175
27.6,25,15.240237
25.4,25,15.248526
23.1,25,15.260567
27.0,25,15.269437
24.8,25,15.278013
24.4,25,15.286921
20.1,25,15.728745
23.0,25,15.738754
24.7,25,15.747958
18.9,25,15.757184
21.2,25,15.766448
9.6,25,15.775561
20.9,25,15.784638
20.9,25,15.793738
25.2,25,15.802958
21.2,25,15.811555
-6.6,25,15.819799
22.5,25,15.828427
24.2,25,15.837461
20.1,25,15.85078
24.5,25,15.864339
21.2,25,15.874444
23.1,25,15.88353
26.3,25,15.892117
21.8,25,15.90113
26.3,25,15.909732
25.4,25,16.22537
23.1,25,16.236709
22.2,25,16.246305
11.8,25,16.254979
25.3,25,16.263866
21.8,25,16.273313
23.2,25,16.281843
25.4,25,16.290885
21.9,25,16.29943
28.2,25,16.308275
24.0,25,16.317258
22.2,25,16.331236
27.7,25,16.343968
21.9,25,16.354608
20.7,25,16.364209
19.0,25,16.373353
21.2,25,16.382613
26.4,25,16.392006
20.2,25,16.401319
24.0,25,16.410427
26.7,25,16.764008
25.3,25,16.775333
21.9,25,16.784959
22.8,25,16.796888
21.7,25,16.807768
23.2,25,16.818368
27.0,25,16.827722
22.8,25,16.83707
19.6,25,16.846454
22.8,25,16.855505
26.3,25,16.865165
19.0,25,16.874459
25.2,25,16.883259
25.7,25,16.891763
27.3,25,16.901257
24.7,25,16.90959
22.2,25,16.918527
24.2,25,16.927921
26.4,25,16.937441
19.9,25,16.947931
24.1,25,16.95673
27.2,25,17.264608
25.4,25,17.276566
25.1,25,17.285694
25.3,25,17.294974
24.3,25,17.304245
22.9,25,17.313565
24.1,25,17.32405
25.4,25,17.333579
21.0,25,17.343784
21.2,25,17.352681
27.0,25,17.362199
27.4,25,17.371499
22.8,25,17.380659
25.7,25,17.389405
25.9,25,17.398319
25.3,25,17.407423
23.5,25,17.416542
28.3,25,17.425651
27.3,25,17.434798
27.3,25,17.44433
26.0,25,17.763254
26.3,25,17.774948
26.0,25,17.783756
25.4,25,17.794831
25.3,25,17.806603
23.7,25,17.816941
23.1,25,17.825856
27.0,25,17.834688
24.0,25,17.843952
26.0,25,17.852875
25.0,25,17.861642
25.1,25,17.870282
26.4,25,17.87903
26.3,25,17.888005
24.4,25,17.896953
27.3,25,17.90585
27.4,25,17.914459
24.1,25,17.923013
29.2,25,17.93295
27.2,25,17.941909
26.0,25,17.951757
28.3,25,18.273548
24.4,25,18.28561
21.7,25,18.295305
22.7,25,18.304559
28.6,25,18.314195
18.9,25,18.323827
27.3,25,18.333391
21.2,25,18.34286
26.2,25,18.351755
25.1,25,18.361139
21.9,25,18.370425
25.4,25,18.379515
25.0,25,18.390623
28.3,25,18.40586
26.4,25,18.419646
25.0,25,18.429709
27.3,25,18.439912
22.7,25,18.449742
25.4,25,18.459791
26.9,25,18.468641
28.6,25,18.741274
22.1,25,18.753318
26.3,25,18.765419
27.3,25,18.776736
12.8,25,18.786349
26.4,25,18.798442
23.0,25,18.80784
27.3,25,18.816578
25.0,25,18.825283
26.4,25,18.834072
27.6,25,18.843235
20.9,25,18.851908
23.1,25,18.86073
25.1,25,18.869454
28.3,25,18.879245
24.4,25,18.888103
29.3,25,18.897038
24.0,25,18.906395
26.3,25,18.915363
22.0,25,18.924068
30.3,25,18.933599
29.2,25,19.260057
27.0,25,19.27091
21.9,25,19.279829
25.0,25,19.288291
28.3,25,19.297525
21.1,25,19.306364
-6.6,25,19.315409
23.3,25,19.330045
24.4,25,19.342872
28.2,25,19.353238
24.4,25,19.362123
28.3,25,19.370979
24.1,25,19.379686
26.3,25,19.388431
25.9,25,19.397081
24.0,25,19.405871
28.6,25,19.415048
23.0,25,19.423621
21.7,25,19.432393
24.0,25,19.441151
25.3,25,19.839526
28.3,25,19.851626
25.3,25,19.860792
21.2,25,19.870078
24.0,25,19.878851
28.2,25,19.888014
27.7,25,19.896827
27.2,25,19.905816
24.4,25,19.914488
28.6,25,19.92299
28.0,25,19.932234
24.5,25,19.942036
25.2,25,19.951154
25.9,25,19.960274
26.4,25,19.970958
19.8,25,19.979944
26.3,25,19.988879
20.9,25,19.997714
21.9,25,20.006367
25.4,25,20.015093
21.8,25,20.023664
24.1,25,20.459887
24.3,25,20.471342
27.3,25,20.4818
29.2,25,20.491191
27.2,25,20.500592
27.3,25,20.509827
24.0,25,20.518967
25.0,25,20.528103
28.6,25,20.537306
26.4,25,20.545891
28.3,25,20.55523
28.6,25,20.566793
24.2,25,20.577546
25.3,25,20.586462
25.1,25,20.595535
23.0,25,20.604252
29.2,25,20.613517
24.1,25,20.621964
23.1,25,20.632364
28.2,25,20.642037
26.3,25,20.961228
30.2,25,20.979516
25.0,25,20.989846
26.3,25,20.999406
27.3,25,21.008699
26.9,25,21.018138
27.2,25,21.028333
19.9,25,21.037601
26.3,25,21.049181
27.3,25,21.059961
29.2,25,21.07039
27.3,25,21.079481
27.3,25,21.088357
27.2,25,21.096846
29.2,25,21.105678
22.8,25,21.11399
29.3,25,21.122544
25.1,25,21.131119
21.8,25,21.142508
26.3,25,21.157839
27.2,25,21.170694
24.2,25,21.52143
22.4,25,21.534392
25.3,25,21.544892
29.3,25,21.55357
26.9,25,21.562509
24.0,25,21.571525
28.2,25,21.580122
24.4,25,21.591204
28.3,25,21.601754
30.2,25,21.610661
24.0,25,21.619674
27.2,25,21.628161
26.3,25,21.637103
26.3,25,21.64922
27.6,25,21.659577
22.7,25,21.68907
28.2,25,21.728911
28.3,25,21.756717
14.5,25,21.766427
28.2,25,21.775417
27.3,25,22.052041
25.3,25,22.062977
24.9,25,22.072341
27.3,25,22.081531
26.3,25,22.090785
23.8,25,22.099876
24.0,25,22.109129
27.3,25,22.117922
24.8,25,22.129909
27.6,25,22.140239
23.1,25,22.150455
24.4,25,22.15967
9.6,25,22.169379
25.3,25,22.177677
20.4,25,22.187452
29.6,25,22.196244
29.3,25,22.206331
24.4,25,22.216116
23.1,25,22.225831
22.1,25,22.23745
24.0,25,22.250071
28.3,25,22.67645
23.1,25,22.68746
24.1,25,22.696716
13.8,25,22.705686
26.0,25,22.714814
23.1,25,22.724037
27.2,25,22.733461
25.0,25,22.742752
29.6,25,22.753
25.0,25,22.762088
19.2,25,22.770483
29.2,25,22.77897
29.2,25,22.787556
25.4,25,22.795906
25.4,25,22.804177
27.2,25,22.813517
28.2,25,22.821902
26.3,25,22.830547
27.3,25,22.838913
23.1,25,22.847272
24.1,25,23.171603
27.6,25,23.18328
23.1,25,23.191987
22.0,25,23.200519
27.3,25,23.209137
30.2,25,23.217844
25.6,25,23.22619
27.3,25,23.234946
29.3,25,23.244259
22.1,25,23.25422
26.6,25,23.263304
29.6,25,23.272618
27.4,25,23.28228
21.0,25,23.291819
27.3,25,23.300921
27.2,25,23.310226
28.2,25,23.320951
27.3,25,23.33494
28.6,25,23.347862
27.2,25,23.361212
26.3,25,23.371403
27.3,25,25.599748
28.3,25,25.613746
28.2,25,25.630071
27.6,25,25.646905
27.3,25,25.661346
27.3,25,25.67448
26.3,25,25.689422
20.9,25,25.701478
24.0,25,25.716865
27.3,25,25.732363
24.3,25,25.745581
25.0,25,25.758578
16.8,25,25.772596
25.1,25,25.784145
29.6,25,25.794283
25.3,25,25.805118
23.1,25,25.815616
28.3,25,25.825633
24.1,25,25.836254
26.2,25,25.847033
27.3,25,26.300242
21.8,25,26.314387
25.0,25,26.327881
28.2,25,26.346062
22.7,25,26.361951
26.3,25,26.376455
29.3,25,26.38893
27.2,25,26.39993
24.4,25,26.413462
24.0,25,26.429827
27.3,25,26.44325
28.6,25,26.454417
26.3,25,26.469417
28.6,25,26.483426
26.3,25,26.496737
26.9,25,26.514905
28.3,25,26.53189
25.3,25,26.549414
27.2,25,26.564728
27.2,25,26.579341
27.0,25,26.594051
27.0,25,27.097359
27.2,25,27.112961
21.7,25,27.124846
2.0,25,27.136234
28.2,25,27.149734
27.0,25,27.163527
24.4,25,27.175599
27.3,25,27.190214
25.4,25,27.209013
21.8,25,27.220466
24.3,25,27.233396
26.3,25,27.247808
20.8,25,27.267311
28.3,25,27.282103
25.0,25,27.295245
26.0,25,27.308355
28.3,25,27.327581
28.2,25,27.343783
12.8,25,27.361929
29.2,25,27.374954
24.3,25,27.872674
30.6,25,27.886923
25.0,25,27.902053
26.4,25,27.914154
26.0,25,27.926529
30.6,25,27.94049
25.0,25,27.952393
26.4,25,27.96341
26.2,25,27.974413
26.0,25,27.986265
27.9,25,28.003932
28.3,25,28.018012
26.0,25,28.030206
25.4,25,28.043444
24.3,25,28.056483
27.3,25,28.072381
27.4,25,28.086504
27.3,25,28.108072
27.3,25,28.13426
23.1,25,28.14587
27.2,25,28.156666
25.3,25,30.121398
26.3,25,30.131343
24.6,25,30.140882
28.6,25,30.151046
29.6,25,30.161551
24.3,25,30.171113
28.3,25,30.179941
29.2,25,30.191436
28.2,25,30.202619
22.3,25,30.215799
25.2,25,30.226564
21.8,25,30.236763
26.2,25,30.245985
26.0,25,30.256214
25.3,25,30.265356
24.3,25,30.2752
26.0,25,30.287638
28.2,25,30.306565
24.3,25,30.316723
29.2,25,30.326028
27.2,25,32.349842
24.5,25,32.363522
25.0,25,32.373383
27.9,25,32.385907
23.1,25,32.395577
27.3,25,32.405013
27.2,25,32.414512
24.4,25,32.424559
29.6,25,32.434515
27.2,25,32.444609
4.2,25,32.454717
29.2,25,32.464828
2.0,25,32.474994
30.2,25,32.485171
26.3,25,32.496478
24.9,25,32.508488
25.3,25,32.52278
31.6,25,32.5336
24.0,25,32.544565
27.3,25,32.554203
26.3,25,32.564206
29.6,25,33.300502
25.3,25,33.310354
29.6,25,33.320111
29.2,25,33.33066
27.3,25,33.34004
25.2,25,33.349526
26.3,25,33.358814
25.0,25,33.368162
27.0,25,33.376648
25.0,25,33.385931
19.9,25,33.394878
25.0,25,33.405083
28.2,25,33.416826
29.2,25,33.427498
28.2,25,33.438378
22.8,25,33.449431
28.2,25,33.459285
26.6,25,33.468531
24.4,25,33.477984
23.0,25,33.486346
23.1,25,33.873594
28.2,25,33.884513
25.0,25,33.89521
28.2,25,33.905969
28.2,25,33.915194
26.2,25,33.924417
20.8,25,33.93336
25.3,25,33.943587
-3.4,25,33.953028
25.9,25,33.962383
28.2,25,33.97154
30.6,25,33.981648
29.6,25,33.99192
24.9,25,34.002577
26.3,25,34.013291
27.3,25,34.02396
25.4,25,34.034435
29.2,25,34.045208
26.4,25,34.055861
27.6,25,34.067817
27.6,25,34.079439
26.6,25,39.564077
25.3,25,39.573729
26.2,25,39.583431
27.9,25,39.593099
28.2,25,39.602513
29.2,25,39.611918
29.2,25,39.621159
29.2,25,39.630647
28.3,25,39.639184
27.3,25,39.649993
24.0,25,39.659769
30.2,25,39.668293
26.6,25,39.676881
27.7,25,39.685743
30.2,25,39.695201
25.3,25,39.70407
27.2,25,39.712512
28.2,25,39.723859
28.2,25,39.734313
25.4,25,39.744771
25.9,25,40.75868
25.9,25,40.770904
28.6,25,40.78087
23.1,25,40.79093
29.2,25,40.801021
22.1,25,40.810482
27.3,25,40.820669
27.0,25,40.830305
27.4,25,40.840089
30.2,25,40.849482
28.2,25,40.859449
28.2,25,40.870617
24.1,25,40.879584
25.3,25,40.888463
29.3,25,40.897403
26.3,25,40.906339
21.1,25,40.915024
28.3,25,40.923412
29.2,25,40.932878
26.2,25,40.943585
29.6,25,40.953164
28.2,25,41.694769
29.2,25,41.704686
26.4,25,41.714051
24.3,25,41.723523
25.3,25,41.734205
30.2,25,41.743462
28.6,25,41.752955
26.0,25,41.762296
29.3,25,41.771689
27.3,25,41.781075
28.2,25,41.790203
29.2,25,41.800134
25.0,25,41.809585
29.3,25,41.819119
26.3,25,41.828534
25.9,25,41.837579
27.3,25,41.846704
27.6,25,41.856106
29.2,25,41.865135
29.2,25,41.874426
28.0,25,42.161177
28.2,25,42.172223
29.2,25,42.183152
23.3,25,42.191584
27.0,25,42.20017
27.3,25,42.209935
27.2,25,42.219799
-3.4,25,42.228136
22.8,25,42.238614
26.9,25,42.247919
20.2,25,42.261802
27.9,25,42.272079
27.3,25,42.280746
27.2,25,42.289156
25.2,25,42.297899
27.3,25,42.306265
29.2,25,42.314965
27.3,25,42.32333
2.0,25,42.331638
28.9,25,42.340173
25.0,25,42.864515
29.2,25,42.87778
27.2,25,42.890134
29.3,25,42.901765
28.2,25,42.911994
29.2,25,42.92133
23.1,25,42.931915
25.3,25,42.942315
25.0,25,42.95323
25.9,25,42.962736
14.8,25,42.972414
27.3,25,42.983963
27.2,25,42.99647
24.3,25,43.005721
23.9,25,43.016598
25.3,25,43.025844
29.2,25,43.035485
25.3,25,43.043995
26.3,25,43.052688
26.6,25,43.061276
27.2,25,43.070658
28.2,25,43.43787
25.4,25,43.448741
23.0,25,43.457657
24.0,25,43.470859
28.2,25,43.481722
29.2,25,43.492143
25.3,25,43.501979
28.2,25,43.516664
26.3,25,43.536052
28.2,25,43.549187
23.0,25,43.561047
26.2,25,43.571098
28.2,25,43.581658
24.7,25,43.59114
28.6,25,43.602399
26.2,25,43.614315
28.2,25,43.6247
25.2,25,43.634074
16.0,25,43.643116
27.2,25,43.652438
27.3,25,43.967329
25.0,25,43.980633
26.0,25,43.99104
28.2,25,44.000646
25.9,25,44.010245
27.2,25,44.019867
26.3,25,44.029936
29.6,25,44.043153
27.6,25,44.052931
26.3,25,44.062324
25.2,25,44.072099
27.2,25,44.081705
22.8,25,44.091466
29.2,25,44.100377
27.3,25,44.111238
28.9,25,44.121946
25.1,25,44.130848
26.0,25,44.139495
25.3,25,44.149106
27.2,25,44.158228
