#{"t_start": 1771238590.3450012, "env_id": null}
r,l,t
27.3,25,33.114631
-6.6,25,33.488215
27.3,25,33.497702
29.3,25,33.506739
25.9,25,33.515775
28.2,25,33.524912
23.7,25,33.53416
25.3,25,33.543221
28.2,25,33.551686
25.0,25,33.560208
31.2,25,33.568999
29.2,25,33.577737
26.0,25,33.58655
30.6,25,33.598208
27.4,25,33.60779
29.2,25,33.616364
23.1,25,33.625665
28.3,25,33.634316
25.0,25,33.643173
29.2,25,33.651514
29.2,25,33.660255
29.4,25,33.941194
27.1,25,33.951272
25.3,25,33.9616
29.3,25,33.971483
24.0,25,33.981018
28.3,25,33.990329
24.1,25,33.999508
25.1,25,34.007966
25.3,25,34.017373
25.3,25,34.026363
26.0,25,34.036047
28.2,25,34.045721
22.8,25,34.054967
21.0,25,34.06341
27.6,25,34.072002
25.0,25,34.081462
27.0,25,34.090406
28.3,25,34.100503
25.0,25,34.111633
27.3,25,34.121276
25.3,25,34.131155
28.2,25,34.542149
26.3,25,34.551393
26.2,25,34.56052
27.3,25,34.569659
21.8,25,34.57872
26.3,25,34.587906
26.1,25,34.597052
28.3,25,34.606027
27.0,25,34.61568
28.3,25,34.624213
25.0,25,34.632929
28.6,25,34.641519
25.4,25,34.650334
26.0,25,34.658914
29.3,25,34.667535
30.2,25,34.676374
29.6,25,34.685295
26.0,25,34.693916
29.3,25,34.702641
29.3,25,34.711186
26.0,25,34.985089
28.3,25,34.996204
26.3,25,35.006153
27.3,25,35.016233
27.2,25,35.025955
31.6,25,35.034921
27.6,25,35.043514
27.3,25,35.051881
25.1,25,35.060374
27.3,25,35.069089
29.3,25,35.077478
25.0,25,35.085825
26.0,25,35.09484
27.2,25,35.103829
26.3,25,35.116494
24.1,25,35.125351
30.2,25,35.133761
30.2,25,35.142078
26.3,25,35.152066
27.3,25,35.161317
25.1,25,35.437337
29.6,25,35.449354
28.2,25,35.458088
28.3,25,35.466289
27.0,25,35.475172
27.6,25,35.483617
27.3,25,35.492371
22.1,25,35.50128
28.6,25,35.509848
30.3,25,35.518958
30.2,25,35.527741
25.6,25,35.536664
27.2,25,35.545363
30.3,25,35.554035
28.3,25,35.562701
27.2,25,35.572164
27.3,25,35.581194
28.2,25,35.590052
27.2,25,35.599039
27.3,25,35.609729
29.2,25,35.624545
26.0,25,35.880799
26.3,25,35.891142
25.0,25,35.900074
27.2,25,35.91009
26.0,25,35.918811
27.3,25,35.927924
27.6,25,35.936589
30.2,25,35.945624
26.3,25,35.954224
28.6,25,35.963113
26.3,25,35.974055
29.2,25,35.988931
29.6,25,36.00325
27.3,25,36.017063
27.1,25,36.03107
28.3,25,36.04504
28.3,25,36.059605
25.0,25,36.072025
24.0,25,36.082574
26.9,25,36.091748
29.3,25,36.398414
27.2,25,36.409995
31.2,25,36.422727
26.6,25,36.432179
27.3,25,36.442387
25.3,25,36.452513
28.6,25,36.461908
27.0,25,36.472363
26.3,25,36.482299
29.3,25,36.491458
26.3,25,36.501988
29.6,25,36.510924
24.3,25,36.519995
27.2,25,36.528725
28.2,25,36.538431
27.4,25,36.547518
28.3,25,36.556626
26.3,25,36.565453
28.3,25,36.573891
28.2,25,36.582488
27.2,25,36.591596
27.2,25,36.851895
24.0,25,36.863038
24.1,25,36.872571
27.3,25,36.885201
27.0,25,36.89754
29.2,25,36.906195
26.3,25,36.914647
31.2,25,36.923656
25.9,25,36.932378
26.0,25,36.941392
20.6,25,36.949971
29.3,25,36.959385
29.6,25,36.968533
29.2,25,36.977552
29.3,25,36.98638
25.3,25,36.995868
26.2,25,37.00534
29.6,25,37.013771
26.1,25,37.022478
28.2,25,37.031285
28.7,25,37.51074
29.2,25,37.522783
28.3,25,37.536869
29.2,25,37.546099
26.4,25,37.555304
23.3,25,37.56439
29.3,25,37.573726
29.6,25,37.582416
30.2,25,37.591202
26.4,25,37.600819
28.0,25,37.610534
30.6,25,37.620286
25.2,25,37.629237
27.9,25,37.638421
28.3,25,37.648528
25.2,25,37.657164
28.6,25,37.666008
29.6,25,37.674411
29.6,25,37.684209
27.3,25,37.693153
29.6,25,37.702718
23.0,25,37.976931
29.2,25,37.987068
25.7,25,37.996029
28.2,25,38.00454
29.2,25,38.013177
26.0,25,38.0217
-6.6,25,38.032195
26.2,25,38.040583
27.0,25,38.05084
26.2,25,38.059378
27.3,25,38.067885
23.4,25,38.076579
32.6,25,38.085172
26.6,25,38.094033
29.2,25,38.102476
28.2,25,38.111395
28.2,25,38.12014
30.2,25,38.129248
29.2,25,38.138955
29.3,25,38.147983
27.3,25,38.455491
29.2,25,38.467808
28.2,25,38.476447
27.3,25,38.485574
26.4,25,38.495169
30.2,25,38.505042
24.1,25,38.513602
29.2,25,38.522471
28.2,25,38.531529
29.3,25,38.540872
28.2,25,38.550052
30.2,25,38.55996
30.2,25,38.568774
28.3,25,38.577411
28.2,25,38.585736
28.2,25,38.59497
25.0,25,38.603625
30.2,25,38.611975
28.2,25,38.620456
28.6,25,38.629073
28.2,25,38.637311
27.2,25,38.886119
26.6,25,38.897612
30.2,25,38.9075
27.6,25,38.918235
28.2,25,38.930743
27.3,25,38.944194
31.6,25,38.953961
27.2,25,38.962501
29.6,25,38.970674
25.0,25,38.979087
29.2,25,38.987545
24.0,25,38.996247
29.2,25,39.006035
27.0,25,39.019363
28.4,25,39.02767
30.2,25,39.036338
28.2,25,39.045135
27.0,25,39.053496
25.4,25,39.061798
28.3,25,39.070263
25.3,25,39.361002
28.2,25,39.372217
25.0,25,39.380943
26.6,25,39.389526
27.2,25,39.400125
29.3,25,39.41078
28.2,25,39.419582
25.0,25,39.428211
30.2,25,39.436725
28.2,25,39.44558
23.9,25,39.453967
25.4,25,39.462475
28.2,25,39.47093
26.2,25,39.479506
29.2,25,39.487761
27.3,25,39.496503
28.6,25,39.505436
27.6,25,39.51453
27.4,25,39.523119
